project_manager_id,project_manager_name,experience_band,home_business_unit_id
1,Amina Mensah,Principal,1
2,Daniel Chen,Senior,5
3,Priya Patel,Senior,4
4,Michael Johnson,Principal,3
5,Sofia Martinez,Senior,3
6,Kwame Owusu,Senior,6
7,Rachel Thompson,Senior,1
8,Victor Nwosu,Senior,5
9,Linda Brown,Principal,2
10,Omar Haddad,Senior,1
11,Grace Okafor,Principal,4
12,Ethan Wilson,Principal,6
13,Nadia Rahman,Lead,5
14,Samuel Taylor,Senior,5
15,Mei Liu,Lead,5
16,Carlos Garcia,Lead,5
17,Joanne Martin,Senior,4
18,David Clark,Senior,1
19,Fatima Khan,Senior,6
20,Andrew Walker,Senior,3
21,Leila Bennett,Senior,4
22,Marcus Reid,Lead,3
23,Helen Morris,Lead,2
24,Noah Anderson,Senior,6
25,Chinedu Eze,Lead,5
